Rank,Name,Console,Publisher,Total_shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Date
1,Pokemon,Series,Nintendo,362.06m,N/A,N/A,N/A,N/A,N/A,28th Sep 98
2,Super Mario,Series,Nintendo,354.51m,N/A,N/A,N/A,N/A,N/A,20th Jul 83
3,Call of Duty,Series,Activision,300.00m,N/A,N/A,N/A,N/A,N/A,29th Oct 03
4,Grand Theft Auto,Series,ASC Games,300.00m,N/A,N/A,N/A,N/A,N/A,27th Mar 98
5,FIFA,Series,EA Sports,282.40m,N/A,N/A,N/A,N/A,N/A,15th Dec 93
6,The Sims,Series,Electronic Arts,200.00m,N/A,N/A,N/A,N/A,N/A,04th Feb 00
7,Minecraft,Series,Mojang,180.00m,N/A,N/A,N/A,N/A,N/A,18th Nov 11
8,Tetris,Series,Unknown,171.00m,N/A,N/A,N/A,N/A,N/A,06th Jun 84
9,Final Fantasy,Series,Square,152.50m,N/A,N/A,N/A,N/A,N/A,18th Dec 87
10,Need for Speed,Series,Electronic Arts,150.00m,N/A,N/A,N/A,N/A,N/A,31st Aug 94
11,Mario Kart,Series,Nintendo,142.34m,N/A,N/A,N/A,N/A,N/A,01st Sep 92
12,Assassin's Creed,Series,Ubisoft,140.00m,N/A,N/A,N/A,N/A,N/A,13th Nov 07
13,Madden NFL,Series,Electronic Arts,130.00m,N/A,N/A,N/A,N/A,N/A,01st Jun 88
14,Wii Sports,Series,Nintendo,115.99m,N/A,N/A,N/A,N/A,N/A,19th Nov 06
15,Pro Evolution Soccer,Series,Konami,106.80m,N/A,N/A,N/A,N/A,N/A,22nd Dec 95
16,The Legend of Zelda,Series,Nintendo,105.81m,N/A,N/A,N/A,N/A,N/A,14th Jul 87
17,Lego,Series,Mindscape,104.30m,N/A,N/A,N/A,N/A,N/A,26th Sep 97
18,Resident Evil,Series,Capcom,97.70m,N/A,N/A,N/A,N/A,N/A,30th Mar 96
19,NBA 2K,Series,Sega,90.00m,N/A,N/A,N/A,N/A,N/A,10th Nov 99
20,Wii Sports,Wii,Nintendo,82.88m,N/A,N/A,N/A,N/A,N/A,19th Nov 06
21,Gran Turismo,Series,Sony Computer Entertainment,80.40m,N/A,N/A,N/A,N/A,N/A,12th May 98
22,Dragon Quest,Series,Square,80.00m,N/A,N/A,N/A,N/A,N/A,27th May 86
